,I18,I20,I21,I22,I23,I24,J18,J19,J20,J21,J22,J23,J24
ENSG00000214182,3.0097675244833195,2.8980969779836414,2.8205920014127948,2.8252025030349586,2.9162386927321053,2.9865152579795264,2.815731336416723,2.8270904854609618,2.7209311614480423,2.9574162605251617,2.9245201419140536,3.0213977654501263,2.6566820074089925
ENSG00000112306,3.35154104995959,3.3200447457341826,3.4545781554033086,3.230500034318312,3.334092807619193,3.219166465213202,3.3540995296472196,3.5094030860892365,3.16594509184584,3.2395010706409986,3.413635616813178,3.1836531240398114,3.5512936715529455
ENSG00000145592,3.271200926575438,3.675512084438512,3.4397967287040796,3.503286974382339,3.465677779597897,3.593525800745911,3.511363553406211,3.6674247029726628,3.4277865599628408,3.545155521952597,3.488155065365612,3.32322020847569,3.508145036970592
ENSG00000244398,3.2284731684882577,3.0533703751142736,3.1479049970820308,3.3416903865183984,3.084351677083134,3.2061084491510927,3.0463260273547297,2.7887314887052583,2.7209311614480423,2.7616947437364403,3.070971191300139,3.213168417606894,3.002576164079434
ENSG00000174748,3.3706565720570336,3.1877429792902006,3.5116112726878725,3.5180983078257633,3.182531475997951,3.282015106431257,3.1207162061085354,3.4302677571683415,3.4277865599628408,3.384823177171763,3.333112639250659,3.34893967404526,3.07313076091063
ENSG00000198363,3.7054227551055354,4.056142310772233,3.6772705656267206,3.8834811169197665,3.780405063474361,3.844676843811705,3.7285179703708953,3.699390245396387,3.7582578675463587,3.889807249900538,3.895401283954635,3.7927365266913866,3.7252800886346114
ENSG00000136942,3.4782580620397,3.530368523609004,3.3297156601448936,3.2689536666988266,3.353984342111858,3.386056076979694,3.4616404033901587,3.5094030860892365,3.4505619186829217,3.2615996593787817,3.311926348712122,3.5125376693169548,3.3913497492989952
ENSG00000204628,3.635282634984192,3.4245436225513175,3.5389526729243,3.4094933164324983,3.6574241496943958,3.529036289967855,3.6039558452625746,3.6510504090078406,3.74156549712631,3.6832982145012414,3.8210195012036148,3.4223524019174465,3.6705804066065517
ENSG00000256618,3.5907087326688902,3.155804391824426,3.5253754139164974,3.575242754492245,3.566139775098198,3.2697574072105775,3.2547060146676796,3.4302677571683415,3.4505619186829217,3.5116816099711197,3.540612718490114,3.5752106299946256,3.3662597446707014
ENSG00000224631,2.8947482126901134,3.3472109177620473,3.4247935292128404,3.169896361140777,3.4298151268997588,3.1095914806729024,3.4616404033901587,3.2746498143263896,3.1954379251511735,3.545155521952597,3.198688704417188,2.8694947151801347,3.439716712364762
ENSG00000143933,3.35154104995959,3.740879268996114,3.5523480565821837,3.680579525507455,3.4298151268997588,3.6789877122529386,3.6039558452625746,3.8179198288282805,3.7582578675463587,3.6688582810405577,3.6379308756444675,3.4907423371242996,3.529952061793567
ENSG00000225972,2.6928245990661535,3.155804391824426,2.792542582606381,3.2876398267774847,2.853273947129258,3.1928776627806355,2.908543641360718,3.030680626710455,3.1355559290864146,2.7616947437364403,2.825107507988645,2.6400070561241384,3.2303975934585014
ENSG00000134419,3.461109424616568,3.3866246273609537,3.5914901073279917,3.503286974382339,3.5500814414183166,3.2320561650075508,3.5431898096906758,3.4706180174908208,3.3311139836979473,3.6688582810405577,3.3741844028992642,3.6149116153986176,3.529952061793567
ENSG00000130255,3.2918991286083923,2.997929439049281,2.792542582606381,3.230500034318312,3.334092807619193,3.018733293965801,3.3540995296472196,3.0902704657700824,3.16594509184584,3.1937825845920185,2.892468273330715,3.0560234270587348,3.07313076091063
ENSG00000185650,3.8204698492963103,3.5414642763052213,3.5655663732049283,3.6160552512231106,3.998975484217099,3.794873690547845,3.527403290028753,3.7303655632809196,3.557252360918255,3.5775451291126372,3.333112639250659,3.4684613640696957,3.632377642668142
ENSG00000125968,3.8324726195685943,3.6361468018225853,3.8690328156976332,3.8834811169197665,3.8665864518789324,3.8854759622714568,3.8392688624191735,3.745500696085858,3.74156549712631,3.889807249900538,3.606532157069179,3.7596117026953655,3.572189318007403
ENSG00000228236,3.5907087326688902,3.7676365988322282,3.6042042386495314,3.8203135930175,3.3926183508430294,3.375016292690666,3.4950623439807185,3.528245722452257,3.4505619186829217,3.7658151502411292,3.6979169836149204,3.8247991867145834,3.529952061793567
ENSG00000187514,3.0365679311399605,3.122811980821803,2.847876069167477,2.795364772749675,3.0313932526886505,3.282015106431257,2.9376607464365114,3.030680626710455,2.8102403308861907,3.095552836938366,3.0433467277531787,3.1218730624995183,2.965339839674915
ENSG00000244313,3.1129115483621503,3.1877429792902006,3.2429365399358976,2.9876460264366957,3.2719279278415563,3.1928776627806355,3.0463260273547297,3.3443276764738035,3.3561722995177297,3.2395010706409986,3.0978530129885966,3.1218730624995183,3.1704250701913335
ENSG00000177600,3.443661572849194,3.333720079024391,3.629157594230731,3.3929686852921654,3.5002987055822077,3.529036289967855,3.511363553406211,3.582732649179546,3.494613173024029,3.441172302188047,3.488155065365612,3.1836531240398114,3.6127146511735155
