GENES,L19,L24,K18,L23,K23
ENSG00000108424,2.7379547891454257,2.8536930307952515,3.008556828537073,2.8920205628863487,2.748544656607301
ENSG00000206503,3.288891061188993,2.1123251335497333,2.1442685008685056,1.9373873701933304,1.6442468774041343
ENSG00000099783,2.8334562614958463,2.6512850067949514,2.6375071041031664,2.3888536198814205,2.7214383187552693
ENSG00000122565,2.948073374270822,2.8536930307952515,2.723548118524086,2.7756780048944165,2.964204533390297
ENSG00000156508,3.0985935406573017,2.999576618766616,2.7506584248691976,2.8698097664484017,2.6050076133284232
ENSG00000044574,2.8924060551179265,2.618710534352989,2.475280235878329,2.8000545927720357,2.6050076133284232
ENSG00000147889,1.529059577974396,3.0652434215651727,3.008556828537073,2.9558380663277513,3.0858264738183587
ENSG00000198668,3.1441211244298333,2.6512850067949514,2.5098994237939567,2.7506923203682128,2.573651184717234
ENSG00000234851,2.8633654801957547,2.7134136987754056,2.4394194481713662,1.9928801084548275,2.4732122481056007
ENSG00000126777,2.8026248278392147,2.1123251335497333,2.4394194481713662,2.586050366440419,2.4732122481056007
ENSG00000171863,1.73101115192823,2.879533193533096,2.607099088779856,2.9558380663277513,2.774935590249597
ENSG00000144713,2.594530136271819,2.51409142634444,2.6375071041031664,2.6987663147922025,2.748544656607301
ENSG00000170515,2.6688115906970507,2.5501943451663167,2.323408389754157,2.9762365298572915,2.4732122481056007
